City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Ilhabela,BR,-23.7781,-45.3581,77.0,84,100,4.83,overcast clouds
308,Kiruna,SE,67.8557,20.2251,6.8,92,90,2.3,light snow
309,Manado,ID,1.487,124.8455,84.2,79,40,1.14,scattered clouds
310,Lehre,DE,52.3333,10.6667,33.8,86,75,6.91,light snow
311,Rutesheim,DE,48.8081,8.9454,30.99,89,100,1.01,overcast clouds
312,Preobrazheniye,RU,42.9019,133.9064,21.74,82,0,13.49,clear sky
313,Acapulco,MX,16.8634,-99.8901,77.04,75,7,5.53,clear sky
314,San Patricio,US,28.017,-97.5169,73.4,94,90,8.05,overcast clouds
315,Bubaque,GW,11.2833,-15.8333,77.52,70,0,14.88,clear sky
316,Kuopio,FI,62.8924,27.677,32.0,100,90,3.44,light rain
317,Westport,US,41.1415,-73.3579,30.99,93,90,8.05,light rain
318,Mehamn,NO,71.0357,27.8492,24.89,95,100,27.42,light snow
319,Miquelon,PM,47.0975,-56.3814,34.45,87,94,23.42,overcast clouds
320,Flinders,AU,-34.5833,150.8552,66.99,95,100,3.0,overcast clouds
321,Port Hardy,CA,50.6996,-127.4199,44.6,70,75,31.07,broken clouds
322,Maiduguri,NG,11.8464,13.1603,68.58,22,88,7.99,overcast clouds
323,Sete,FR,43.4018,3.6966,42.8,65,0,3.44,clear sky
324,Bitung,ID,1.4451,125.1824,84.2,79,40,1.14,scattered clouds
325,Tautira,PF,-17.7333,-149.15,82.4,65,75,9.22,broken clouds
326,Sinnamary,GF,5.3833,-52.95,77.4,87,94,14.18,light rain
327,Sapele,NG,5.8941,5.6767,78.51,85,85,1.88,overcast clouds
328,Quatre Cocos,MU,-20.2078,57.7625,73.99,83,20,6.91,few clouds
329,Basqal,AZ,40.7552,48.391,26.6,93,0,3.8,mist
330,Lakatoro,VU,-16.0999,167.4164,81.34,84,100,8.25,heavy intensity rain
331,Lajas,PR,18.05,-67.0593,77.0,96,2,7.81,clear sky
332,Morecambe,GB,54.0684,-2.8611,45.0,99,71,1.01,broken clouds
333,La Cruz,MX,23.9167,-106.9,64.0,72,18,3.0,few clouds
334,Vila Velha,BR,-20.3297,-40.2925,78.8,78,20,9.22,few clouds
335,Sagua La Grande,CU,22.8067,-80.0756,75.2,83,40,8.05,light rain
336,Dobryanka,RU,58.4619,56.4165,21.2,100,90,6.71,overcast clouds
337,Sampit,ID,-2.5333,112.95,75.27,93,99,3.0,light rain
338,Suluq,LY,31.6682,20.2521,56.59,69,0,18.7,clear sky
339,Garden City,US,42.3256,-83.331,32.0,80,90,16.11,light snow
340,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,9.22,few clouds
341,Bowen,AU,-20.0167,148.2333,86.0,70,40,12.66,scattered clouds
342,Dhandhuka,IN,22.3667,71.9833,52.68,40,0,8.39,clear sky
343,Mandalgovi,MN,45.7625,106.2708,-4.79,77,100,12.73,overcast clouds
344,Gat,IL,31.61,34.7642,55.0,76,0,2.3,clear sky
345,Dubbo,AU,-32.25,148.6167,91.4,35,40,3.44,scattered clouds
346,Papayal,PE,-4.0761,-80.7361,80.37,54,77,1.74,broken clouds
